job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
1,w0,delay,0.017000,1,0,1,COMPLETED_SUCCESSFULLY,2.544000,161.062000,163.606000,2.527000,163.589000,1.015690,10,-1,,0.043000,0.728000,1.801000,2.444000
2,w0,delay,10.009000,1,0,1,COMPLETED_SUCCESSFULLY,11.880000,161.046000,172.926000,1.871000,162.917000,1.011618,9,-1,,10.053000,10.598000,11.663000,11.755000
3,w0,delay,20.010000,1,0,1,COMPLETED_SUCCESSFULLY,22.277000,161.059000,183.336000,2.267000,163.326000,1.014076,3,-1,,20.050000,20.625000,21.680000,22.157000
4,w0,delay,30.010000,1,0,1,COMPLETED_SUCCESSFULLY,31.862000,160.514000,192.376000,1.852000,162.366000,1.011538,5,-1,,30.062000,30.630000,31.708000,31.791000
5,w0,delay,40.012000,1,0,1,COMPLETED_SUCCESSFULLY,41.937000,160.451000,202.388000,1.925000,162.376000,1.011997,8,-1,,40.054000,40.657000,41.729000,41.855000
6,w0,delay,50.004000,1,0,1,COMPLETED_SUCCESSFULLY,51.987000,161.065000,213.052000,1.983000,163.048000,1.012312,12,-1,,50.022000,50.557000,51.726000,51.858000
7,w0,delay,60.003000,1,0,1,COMPLETED_SUCCESSFULLY,61.889000,160.926000,222.815000,1.886000,162.812000,1.011720,1,-1,,60.022000,60.582000,61.650000,61.764000
8,w0,delay,70.019000,1,0,1,COMPLETED_SUCCESSFULLY,72.159000,160.983000,233.142000,2.140000,163.123000,1.013293,11,-1,,70.058000,70.517000,71.854000,72.026000
9,w0,delay,80.010000,1,0,1,COMPLETED_SUCCESSFULLY,81.765000,160.652000,242.417000,1.755000,162.407000,1.010924,7,-1,,80.064000,80.545000,81.603000,81.690000
10,w0,delay,90.010000,1,0,1,COMPLETED_SUCCESSFULLY,102.344000,160.675000,263.019000,12.334000,173.009000,1.076764,6,-1,,90.043000,93.648000,99.935000,102.231000
