job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
1,w0,delay,0.017000,1,0,1,COMPLETED_SUCCESSFULLY,4.112000,170.490000,174.602000,4.095000,174.585000,1.024019,8,-1,,0.102000,3.116000,4.024000,4.065000
2,w0,delay,0.023000,1,0,1,COMPLETED_SUCCESSFULLY,2.540000,170.048000,172.588000,2.517000,172.565000,1.014802,6,-1,,0.112000,1.486000,2.451000,2.498000
3,w0,delay,0.028000,1,0,1,COMPLETED_SUCCESSFULLY,1.542000,170.488000,172.030000,1.514000,172.002000,1.008880,7,-1,,0.138000,0.530000,1.455000,1.506000
4,w0,delay,0.021000,1,0,1,COMPLETED_SUCCESSFULLY,2.545000,170.354000,172.899000,2.524000,172.878000,1.014816,11,-1,,0.119000,1.498000,2.468000,2.505000
5,w0,delay,0.022000,1,0,1,COMPLETED_SUCCESSFULLY,4.712000,170.051000,174.763000,4.690000,174.741000,1.027580,9,-1,,0.084000,3.767000,4.642000,4.665000
6,w0,delay,0.022000,1,0,1,COMPLETED_SUCCESSFULLY,4.114000,170.492000,174.606000,4.092000,174.584000,1.024001,3,-1,,0.092000,3.100000,4.016000,4.060000
7,w0,delay,0.202000,1,0,1,COMPLETED_SUCCESSFULLY,1.828000,170.770000,172.598000,1.626000,172.396000,1.009522,10,-1,,0.431000,0.892000,1.760000,1.783000
8,w0,delay,0.610000,1,0,1,COMPLETED_SUCCESSFULLY,5.580000,170.690000,176.270000,4.970000,175.660000,1.029117,13,-1,,0.943000,4.614000,5.521000,5.542000
9,w0,delay,1.003000,1,0,1,COMPLETED_SUCCESSFULLY,2.689000,170.534000,173.223000,1.686000,172.220000,1.009887,14,-1,,1.337000,1.738000,2.622000,2.647000
10,w0,delay,3.403000,1,0,1,COMPLETED_SUCCESSFULLY,2127.169000,170.379000,2297.548000,2123.766000,2294.145000,13.464952,,-1,,,2126.103000,2127.060000,2127.102000
11,w0,delay,4.202000,1,0,1,COMPLETED_SUCCESSFULLY,1933.017000,170.981000,2103.998000,1928.815000,2099.796000,12.280873,,-1,,,1932.047000,1932.931000,1932.951000
12,w0,delay,5.009000,1,0,1,COMPLETED_SUCCESSFULLY,1049.941000,170.227000,1220.168000,1044.932000,1215.159000,7.138462,13,-1,,1048.526000,1048.962000,1049.876000,1049.897000
13,w0,delay,5.805000,1,0,1,COMPLETED_SUCCESSFULLY,174.363000,170.678000,345.041000,168.558000,339.236000,1.987579,11,-1,,172.951000,173.386000,174.283000,174.315000
14,w0,delay,6.802000,1,0,1,COMPLETED_SUCCESSFULLY,348.664000,170.227000,518.891000,341.862000,512.089000,3.008271,10,-1,,344.810000,347.695000,348.597000,348.622000
15,w0,delay,8.003000,1,0,1,COMPLETED_SUCCESSFULLY,1946.854000,170.503000,2117.357000,1938.851000,2109.354000,12.371360,,-1,,,1945.796000,1946.742000,1946.782000
16,w0,delay,9.003000,1,0,1,COMPLETED_SUCCESSFULLY,2128.151000,170.425000,2298.576000,2119.148000,2289.573000,13.434490,,-1,,,2127.166000,2128.078000,2128.106000
17,w0,delay,10.203000,1,0,1,COMPLETED_SUCCESSFULLY,1946.856000,170.505000,2117.361000,1936.653000,2107.158000,12.358336,,-1,,,1945.807000,1946.726000,1946.775000
18,w0,delay,11.404000,1,0,1,COMPLETED_SUCCESSFULLY,693.003000,170.476000,863.479000,681.599000,852.075000,4.998211,1,-1,,691.424000,691.850000,692.924000,692.963000
19,w0,delay,0.024000,1,0,1,COMPLETED_SUCCESSFULLY,2.544000,170.531000,173.075000,2.520000,173.051000,1.014777,5,-1,,0.136000,1.486000,2.457000,2.500000
20,w0,delay,0.022000,1,0,1,COMPLETED_SUCCESSFULLY,2.479000,170.238000,172.717000,2.457000,172.695000,1.014433,2,-1,,0.056000,1.424000,2.351000,2.428000
21,w0,delay,0.023000,1,0,1,COMPLETED_SUCCESSFULLY,4.132000,170.473000,174.605000,4.109000,174.582000,1.024104,4,-1,,0.131000,3.110000,4.075000,4.098000
22,w0,delay,0.406000,1,0,1,COMPLETED_SUCCESSFULLY,2.038000,170.863000,172.901000,1.632000,172.495000,1.009552,1,-1,,0.682000,1.099000,1.975000,1.998000
23,w0,delay,0.803000,1,0,1,COMPLETED_SUCCESSFULLY,4.798000,170.790000,175.588000,3.995000,174.785000,1.023391,12,-1,,1.082000,3.842000,4.734000,4.757000
24,w0,delay,1.202000,1,0,1,COMPLETED_SUCCESSFULLY,2127.171000,170.341000,2297.512000,2125.969000,2296.310000,13.480665,,-1,,,2126.106000,2127.044000,2127.093000
25,w0,delay,1.403000,1,0,1,COMPLETED_SUCCESSFULLY,1911.997000,170.748000,2082.745000,1910.594000,2081.342000,12.189554,,-1,,,1911.015000,1911.929000,1911.956000
26,w0,delay,1.602000,1,0,1,COMPLETED_SUCCESSFULLY,2247.951000,170.684000,2418.635000,2246.349000,2417.033000,14.160865,,-1,,,2246.946000,2247.876000,2247.898000
27,w0,delay,3.009000,1,0,1,COMPLETED_SUCCESSFULLY,2280.168000,170.520000,2450.688000,2277.159000,2447.679000,14.354205,,-1,,,2279.148000,2280.075000,2280.110000
28,w0,delay,3.803000,1,0,1,COMPLETED_SUCCESSFULLY,174.190000,170.651000,344.841000,170.387000,341.038000,1.998453,2,-1,,172.771000,173.176000,174.127000,174.160000
29,w0,delay,6.004000,1,0,1,COMPLETED_SUCCESSFULLY,1923.050000,170.664000,2093.714000,1917.046000,2087.710000,12.232867,,-1,,,1922.071000,1922.969000,1922.993000
30,w0,delay,7.402000,1,0,1,COMPLETED_SUCCESSFULLY,174.547000,170.672000,345.219000,167.145000,337.817000,1.979335,5,-1,,173.134000,173.543000,174.499000,174.518000
