job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
1,w0,delay,0.016000,1,0,1,COMPLETED_SUCCESSFULLY,4.774000,160.303000,165.077000,4.758000,165.061000,1.029681,11,-1,,0.055000,3.330000,4.538000,4.715000
2,w0,delay,10.004000,1,0,1,COMPLETED_SUCCESSFULLY,11.879000,161.078000,172.957000,1.875000,162.953000,1.011640,2,-1,,10.022000,10.570000,11.673000,11.756000
3,w0,delay,20.004000,1,0,1,COMPLETED_SUCCESSFULLY,25.780000,161.310000,187.090000,5.776000,167.086000,1.035807,6,-1,,20.021000,24.492000,25.602000,25.703000
4,w0,delay,30.011000,1,0,1,COMPLETED_SUCCESSFULLY,34.832000,160.353000,195.185000,4.821000,165.174000,1.030065,1,-1,,30.045000,33.238000,34.603000,34.707000
5,w0,delay,40.009000,1,0,1,COMPLETED_SUCCESSFULLY,41.888000,160.968000,202.856000,1.879000,162.847000,1.011673,3,-1,,40.060000,40.575000,41.665000,41.759000
6,w0,delay,50.010000,1,0,1,COMPLETED_SUCCESSFULLY,55.087000,160.568000,215.655000,5.077000,165.645000,1.031619,7,-1,,50.050000,53.549000,54.789000,54.977000
7,w0,delay,60.009000,1,0,1,COMPLETED_SUCCESSFULLY,65.060000,160.771000,225.831000,5.051000,165.822000,1.031417,8,-1,,60.057000,63.432000,64.516000,64.957000
8,w0,delay,70.021000,1,0,1,COMPLETED_SUCCESSFULLY,74.617000,160.858000,235.475000,4.596000,165.454000,1.028572,4,-1,,70.065000,73.399000,74.465000,74.548000
9,w0,delay,80.009000,1,0,1,COMPLETED_SUCCESSFULLY,84.764000,161.117000,245.881000,4.755000,165.872000,1.029513,12,-1,,80.046000,83.527000,84.601000,84.689000
10,w0,delay,90.003000,1,0,1,COMPLETED_SUCCESSFULLY,92.157000,160.380000,252.537000,2.154000,162.534000,1.013431,0,-1,,90.020000,90.591000,91.673000,92.060000
